town,cons
éº???,3.4400
ä¹???,7.3600
??¸¯?,5.3200
é¹½å??,7.1300
é«?¨¹?,4.3400
?¬å??,6.0100
?§å??,6.8500
ç«¹ç??,5.7100
?°å??,6.9100
??¯®?,11.5200
?°å??,9.5400
å´???,11.0700
????,7.3800
????,7.2400
ä½³å??,7.1100
????,3.2200
è»???,6.6900
æ»¿å??,8.0200
??±±?,6.2600
ä¸?????,2.8200
?§è??,0.5900
?ªå®¶?,1.8600
æ³°æ­¦?,2.2800
ä¾?¾©?,9.6800
?¥æ??,3.0300
????,4.6600
?¡ä¸¹?,2.1800
?ºæ?å¸,8.5600
????,4.0500
??±±?,8.1600
????,5.7600
å¤§æ­¦?,6.5900
å¤ªéº»???,4.0900
?±æ²³?,5.1300
?·æ¿±?,7.0600
é¹¿é??,7.1000
æ±???,7.7900
ç¶?³¶?,6.4400
å»¶å¹³?,2.6400
æµ·ç«¯?,3.1000
????,1.0000
??³°?,1.7300
?­å¶¼?,4.9900
?±è?å¸,8.6200
é³³æ??,6.4100
????,10.2900
?°å??,12.7400
????,11.2800
å£½è??,9.1300
??¾©?,12.2200
è±?¿±?,11.9100
????,9.9900
å¯???,9.2600
ç§????,8.0100
?¬æ¦®?,2.4400
??ºª?,7.1200
é¦¬å??,5.5400
æ¹?¥¿?,11.7800
?½æ??,4.5700
è¥¿å¶¼?,4.5900
????,0.2100
ä¸???,7.8800
ä¸­æ­£??,5.5600
ä¸????,6.3400
?????,6.2100
ä»????,6.9700
ä¸­å±±??,5.7300
å®????,8.0100
ä¿¡ç¾©??,7.3500
ä¸­å?,2.9500
?±å?,5.4100
è¥¿å?,7.1200
???,5.1100
???,7.6800
è¥¿å±¯??,7.5800
??±¯??,5.7200
??±¯??,6.1000
?±å?,6.1600
???,5.8600
è¥¿å?,4.7700
???,5.4100
ä¸­å?,3.1800
å®????,7.6500
å®?¹³??,6.5400
?¾å±±??,6.9800
å¤§å???,7.0000
?¤äº­??,7.3800
?????,9.0700
é¾?±±??,4.4400
??¸­??,10.8600
å»ºæ???,4.7300
å»¶å¹³??,3.6900
å¤§å???,6.7000
ä¸­å±±??,6.1900
?§æ???,7.8500
??¸¯??,7.5900
?¨æ???,7.2000
?¯ç???,7.5300
å£«æ???,6.2800
?????,8.0200
é¹½å???,4.6600
é¼?±±??,6.2900
å·¦ç???,7.8200
æ¥????,8.1300
ä¸????,8.6300
?°è???,8.2900
?????,7.2600
?????,9.0600
?????,9.2300
??´¥??,4.3800
å°?¸¯??,6.6700
