town,emplo
ç«¹å±±?,4.6
????,4.14
????,4.46
é¹¿è°·?,2.74
ä¸­å¯®?,4.19
é­???,8.95
????,6.22
æ°´é??,4.24
ä¿¡ç¾©?,3.67
ä»???,1.92
????,4.48
????,3.3
??°¾?,4.11
è¥¿è??,3.57
??º«?,2.49
??¸¯?,5.9
?¤å??,3.16
å¤§å??,4.33
?¿æ??,1.68
????,3.32
äº???,2.39
å´???,3.27
éº¥å¯®?,5.74
?±å??,3.98
è¤???,2.92
?ºè¥¿?,4.63
????,2.54
????,6.27
????,5.62
æ°´æ??,3.21
??¾©å¸,5.94
?´å??,4.9
å¸???,7.97
å¤§æ??,3.82
æ°???,3
æºªå??,2.32
?°æ¸¯?,2.93
?­è??,3.49
?±ç??,4.63
ç¾©ç«¹?,3.57
é¹¿è??,2.18
å¤ªä??,2.14
æ°´ä??,3.64
ä¸­å??,3.31
ç«¹å??,4.82
æ¢?±±?,4.49
?ªè·¯?,4.56
å¤§å??,4.79
?³é³³?,4.49
?°ç??,5.12
é¹½æ°´?,4.15
?½æ²³?,3.35
éº»è??,3.98
ä½³é??,4.48
?°å??,2.93
????,2.8
å­¸ç??,4.29
?³ç??,3.9
å¾???,3.25
?±å±±?,3.35
ä¸???,2.88
?­ç??,4.18
å®???,3.43
å¤§å??,1.59
è¥¿æ¸¯?,2.31
ä¸???,3.41
å°???,3.15
????,3.64
?°å??,2.31
å®???,3.5
å±±ä??,1.91
????,4.09
æ¥?¥¿?,3.68
????,1.25
å·¦é??,2.52
ä»?¾·?,4.12
æ­¸ä??,3.41
????,5.12
é¾???,1.42
æ°¸åº·?,3.47
é³³å±±å¸,4.18
å²¡å±±?,4.98
??±±?,6.87
ç¾???,9.43
????,6.4
å¤§å¯®?,4.91
å¤§æ¨¹?,5.46
ä»?­¦?,4.41
å¤§ç¤¾?,3.27
é³¥æ??,5.04
æ©???,3.99
??·¢?,3.4
?°å¯®?,3.31
?¿è??,5.57
è·¯ç«¹?,3.41
æ¹???,4.05
????,4.53
æ°¸å??,4.85
å½???,2.66
æ¢???,3.51
?­é??,3.98
?²ä??,3.59
????,8.35
?§é??,5
????,1.43
æ¡???,1.21
ä¸???,1.07
å±??å¸,4.55
æ½®å??,4.88
?±æ¸¯?,5.72
????,7.01
?¬ä¸¹?,3.35
?·æ²»?,3.09
éº???,3.25
ä¹???,2.87
??¸¯?,2.6
é¹½å??,3.02
é«?¨¹?,2.78
?¬å??,5.24
?§å??,4.73
ç«¹ç??,5.08
?°å??,2.83
??¯®?,4.47
?°å??,5.09
å´???,4.03
????,4.56
????,5.42
ä½³å??,6.52
????,8.17
è»???,7.99
æ»¿å??,6.47
??±±?,4.72
ä¸?????,1.87
?§è??,2.76
?ªå®¶?,3.47
æ³°æ­¦?,2.36
ä¾?¾©?,1.66
?¥æ??,3.72
????,2.7
?¡ä¸¹?,3.12
?ºæ?å¸,6.69
????,2.75
??±±?,5.04
????,5.1
å¤§æ­¦?,5.13
å¤ªéº»???,6.57
?±æ²³?,2.92
?·æ¿±?,3.11
é¹¿é??,5.63
æ±???,2.44
ç¶?³¶?,6.48
å»¶å¹³?,1.78
æµ·ç«¯?,3.23
????,5.64
??³°?,8.1
?­å¶¼?,10.11
?±è?å¸,4.97
é³³æ??,5.63
????,4.78
?°å??,5.13
????,4.7
å£½è??,3.98
??¾©?,4.99
è±?¿±?,3.58
????,5.44
å¯???,4.85
ç§????,3.5
?¬æ¦®?,3.41
??ºª?,3.74
é¦¬å??,8.77
æ¹?¥¿?,4.51
?½æ??,5.46
è¥¿å¶¼?,2.67
????,9.31
ä¸???,10.35
ä¸­æ­£??,4.46
ä¸????,4.19
?????,4.69
ä»????,4.45
ä¸­å±±??,4.89
å®????,4.01
ä¿¡ç¾©??,4.21
ä¸­å?,5.22
?±å?,4.87
è¥¿å?,3.38
???,5.1
???,4.5
è¥¿å±¯??,3.54
??±¯??,3.91
??±¯??,2.82
?±å?,4.87
???,5.1
è¥¿å?,3.38
???,4.5
ä¸­å?,5.22
å®????,3.74
å®?¹³??,3.29
?¾å±±??,3.47
å¤§å???,3.82
?¤äº­??,4.13
?????,4.27
é¾?±±??,4.87
??¸­??,3.54
å»ºæ???,4.42
å»¶å¹³??,4.72
å¤§å???,5.91
ä¸­å±±??,4.89
?§æ???,3.25
??¸¯??,3.37
?¨æ???,4.38
?¯ç???,3.81
å£«æ???,3.97
?????,3.71
é¹½å???,5.05
é¼?±±??,4.48
å·¦ç???,3.78
æ¥????,3.44
ä¸????,4.28
?°è???,4.44
?????,4.72
?????,4.16
?????,4.26
??´¥??,4.99
å°?¸¯??,3.96
