town,trav
?±å??,44.94
?¬å??,36
?¡æ??,30.15
æºªæ??,25.56
?°ä¸­?,30.5
å¤§æ??,36.92
??¹½?,16.64
????,37.3
æ°¸é??,26.96
ç¤¾é??,38.85
äº?°´?,26.43
????,27.1
äº???,16.69
?°å°¾?,18.78
?¤é??,23.38
?³è??,23.62
å¤§å??,23.01
ç«¹å??,17.78
æºªå??,18.54
???å¸,28.96
????,29.57
??±¯?,29.38
ç«¹å±±?,29.07
????,27.84
????,20.24
é¹¿è°·?,13.63
ä¸­å¯®?,22.65
é­???,22.91
????,24.08
æ°´é??,29.71
ä¿¡ç¾©?,10.13
ä»???,8.35
???å¸,28.63
????,27.67
??°¾?,24.19
è¥¿è??,16.09
??º«?,16.44
??¸¯?,25.27
?¤å??,21.83
å¤§å??,25.7
?¿æ??,24.45
????,33.69
äº???,13.69
å´???,17.77
éº¥å¯®?,20.7
?±å??,16.42
è¤???,15.37
?ºè¥¿?,19.19
????,15
????,18.78
????,20.04
æ°´æ??,12.87
å¤ªä?å¸,23.45
?´å?å¸,23.13
å¸???,24.59
å¤§æ??,25.2
æ°???,28.48
æºªå??,25.99
?°æ¸¯?,20.37
?­è??,18.21
?±ç??,16.2
ç¾©ç«¹?,21.59
é¹¿è??,18.07
æ°´ä??,33.84
ä¸­å??,21.35
ç«¹å??,18.38
æ¢?±±?,12.68
?ªè·¯?,11.9
å¤§å??,12.06
?³é³³?,7.35
?°ç?å¸,29.27
é¹½æ°´?,25.04
?½æ²³?,20.06
?³ç??,27.15
å¾???,30.21
?±å±±?,30.88
éº»è??,34.35
ä¸???,30.13
?­ç??,26.43
å®???,24.83
å¤§å??,15.83
ä½³é??,22.24
å­¸ç??,29.52
è¥¿æ¸¯?,34.27
ä¸???,24.2
å°???,30.89
????,30.67
?°å??,31.95
????,33.8
?°å??,38.66
å®???,36.14
å±±ä??,33.45
????,21.38
æ¥?¥¿?,13.62
????,21.3
å·¦é??,24.11
ä»?¾·?,46.87
æ­¸ä??,44.33
????,39.45
é¾???,37.62
æ°¸åº·å¸,45.67
é³³å±±å¸,42.18
????,52.49
å¤§å¯®?,45.83
å¤§æ¨¹?,39.89
å¤§ç¤¾?,49.85
ä»?­¦?,38.41
é³¥æ??,35.23
å²¡å±±?,39.17
æ©???,48.21
??·¢?,31.2
?°å¯®?,30.95
?¿è??,30.18
è·¯ç«¹?,36.88
æ¹???,48.41
????,52.78
æ°¸å??,37.19
å½???,46.83
æ¢???,48.8
??±±?,25.52
ç¾???,20.51
?­é??,25.18
?²ä??,28.24
????,26.1
?§é??,24.34
????,19.54
æ¡???,6.95
ä¸???,16.1
å±??å¸,31.26
æ½®å??,28.24
?±æ¸¯?,28.94
????,28.55
?¬ä¸¹?,28.66
?·æ²»?,30.55
éº???,31.34
ä¹???,28.54
??¸¯?,16.97
é¹½å??,25.37
é«?¨¹?,17.98
?¬å??,26.65
?§å??,28.54
ç«¹ç??,25.34
?°å??,26.96
??¯®?,29.85
?°å??,29.42
å´???,26.94
????,23.6
????,26.1
ä½³å??,25.4
????,15.94
è»???,25.57
æ»¿å??,29.44
??±±?,23.86
ä¸???,11.89
?§è??,29.94
?ªå®¶?,21.2
æ³°æ­¦?,8.46
ä¾?¾©?,30.47
?¥æ??,38.52
????,27.4
?¡ä¸¹?,23.19
?ºæ?å¸,25.23
????,27.11
??±±?,20.74
????,22.44
é¹¿é??,36.96
æ±???,17.5
?±æ²³?,24.58
?·æ¿±?,29.84
å¤ªéº»???,22.79
å¤§æ­¦?,24.92
ç¶?³¶?,17.39
æµ·ç«¯?,6.48
å»¶å¹³?,17.04
??³°?,12.53
????,26.8
?­å¶¼?,7.24
?±è?å¸,29.28
é³³æ??,25.63
????,23.84
?°å??,41.61
????,38.01
å£½è??,29.09
??¾©?,32.14
è±?¿±?,39.79
????,36.57
å¯???,34.4
ç§????,26.83
?¬æ¦®?,32.94
??ºª?,31.27
é¦¬å?å¸,25.16
æ¹?¥¿?,28.74
?½æ??,24.71
è¥¿å¶¼?,27.24
????,8.61
ä¸???,26.07
ä¸­æ­£??,33.39
ä¸????,47.23
?????,43.41
ä»????,29.06
ä¸­å±±??,45.86
å®????,42.65
ä¿¡ç¾©??,30.4
?±å?,31.5
???,37.06
é¦?±±??,52.81
ä¸­å?,14.51
?±å?,35.46
???,20.27
è¥¿å?,29.24
???,21.14
è¥¿å±¯??,30.41
??±¯??,36.34
??±¯??,30.08
?±å?,25.77
è¥¿å?,34.23
?±å?,31.32
???,39.96
è¥¿å?,32.54
???,37.13
ä¸­å?,17.96
å®????,47.31
å®?¹³??,48.76
?¾å±±??,11.59
ä¿¡ç¾©??,19.79
å¤§å???,8.71
ä¸­å±±??,13.64
ä¸­æ­£??,13.36
å¤§å???,20.85
?¬è???,26.02
??±±??,20.81
??¸¯??,35.11
?§æ???,24.1
å£«æ???,21.12
?????,22.63
é¹½å???,22.17
é¼?±±??,38.67
å·¦ç???,42.28
æ¥????,45.85
ä¸????,32.25
?°è???,17.15
?????,21.4
?????,26.68
?????,45.07
??´¥??,43.79
å°?¸¯??,45.36
