town,agri
é¾???,26.2200
æ°¸åº·?,12.5000
é³³å±±å¸,4.3100
å²¡å±±?,12.6400
??±±?,28.1500
ç¾???,47.2200
????,19.7200
å¤§å¯®?,20.9600
å¤§æ¨¹?,28.1300
ä»?­¦?,14.7300
å¤§ç¤¾?,31.6600
é³¥æ??,21.5700
æ©???,12.9700
??·¢?,39.6300
?°å¯®?,44.7300
?¿è??,37.0000
è·¯ç«¹?,32.2200
æ¹???,22.0200
????,26.2500
æ°¸å??,29.4700
å½???,26.4700
æ¢???,22.6000
?­é??,46.1000
?²ä??,43.9800
????,52.0300
?§é??,47.8300
????,72.8800
æ¡???,72.0100
ä¸???,77.6000
å±??å¸,11.6500
æ½®å??,23.7400
?±æ¸¯?,33.1200
????,32.1700
?¬ä¸¹?,44.9600
?·æ²»?,38.2400
éº???,39.8700
ä¹???,54.2200
??¸¯?,51.6300
é¹½å??,52.9600
é«?¨¹?,54.5500
?¬å??,38.9500
?§å??,33.8000
ç«¹ç??,43.2300
?°å??,40.8900
??¯®?,31.5100
?°å??,44.9800
å´???,42.3400
????,36.3600
????,34.2600
ä½³å??,42.1100
????,62.3300
è»???,43.4000
æ»¿å??,39.7300
??±±?,39.5500
ä¸?????,68.5600
?§è??,74.5300
?ªå®¶?,54.2400
æ³°æ­¦?,63.9000
ä¾?¾©?,65.7000
?¥æ??,74.1200
????,53.1100
?¡ä¸¹?,58.9100
?ºæ?å¸,20.5200
????,59.3800
??±±?,39.2700
????,43.7100
å¤§æ­¦?,35.2700
å¤ªéº»???,52.3000
?±æ²³?,58.6100
?·æ¿±?,56.8600
é¹¿é??,47.3300
æ±???,46.1700
ç¶?³¶?,43.6400
å»¶å¹³?,67.1400
æµ·ç«¯?,65.4000
????,74.8400
??³°?,68.2000
?­å¶¼?,66.3700
?±è?å¸,6.6100
é³³æ??,36.0800
????,36.3800
?°å??,19.7600
????,22.4500
å£½è??,45.1500
??¾©?,35.1600
è±?¿±?,53.2900
????,35.9900
å¯???,40.1900
ç§????,49.7500
?¬æ¦®?,70.0000
??ºª?,59.3800
é¦¬å??,18.5400
æ¹?¥¿?,46.5700
?½æ??,52.6300
è¥¿å¶¼?,48.4700
????,76.1500
ä¸???,65.7100
ä¸­æ­£??,16.0400
ä¸????,3.6100
?????,2.0000
ä»????,1.9500
ä¸­å±±??,2.3400
å®????,3.1900
ä¿¡ç¾©??,2.4800
ä¸­å?,1.6400
?±å?,4.5600
è¥¿å?,3.6400
???,4.7300
???,2.8400
è¥¿å±¯??,14.7800
??±¯??,18.5200
??±¯??,16.0200
?±å?,2.8200
???,7.8200
è¥¿å?,2.3000
???,2.5500
ä¸­å?,2.5200
å®????,27.7000
å®?¹³??,10.7600
?¾å±±??,1.0000
å¤§å???,0.8300
?¤äº­??,0.7500
?????,1.2600
é¾?±±??,0.7500
??¸­??,0.9400
å»ºæ???,0.5300
å»¶å¹³??,0.7500
å¤§å???,0.8600
ä¸­å±±??,0.8300
?§æ???,4.1600
??¸¯??,2.3800
?¨æ???,3.8800
?¯ç???,1.3500
å£«æ???,5.2100
?????,4.5700
é¹½å???,1.5900
é¼?±±??,6.0300
å·¦ç???,3.6400
æ¥????,6.8300
ä¸????,3.1400
?°è???,1.7200
?????,1.7700
?????,2.8300
?????,3.6900
??´¥??,26.4500
å°?¸¯??,14.8800
