town,sale
?±æ²³?,3.89
?·æ¿±?,3.58
é¹¿é??,5.37
æ±???,8.45
ç¶?³¶?,4.99
å»¶å¹³?,1.43
æµ·ç«¯?,1.87
????,2.01
??³°?,2.64
?­å¶¼?,2.45
?±è?å¸,14.81
é³³æ??,7.44
????,7.98
?°å??,8.67
????,7.6
å£½è??,5.22
??¾©?,6.02
è±?¿±?,3.47
????,6.97
å¯???,5.1
ç§????,3.62
?¬æ¦®?,1.72
??ºª?,2.25
é¦¬å??,13.61
æ¹?¥¿?,5.13
?½æ??,4.28
è¥¿å¶¼?,5.5
????,4.12
ä¸???,3.64
ä¸­æ­£??,11.44
ä¸????,7.87
?????,8.16
ä»????,22.18
ä¸­å±±??,8.36
å®????,9.49
ä¿¡ç¾©??,9.76
ä¸­å?,31.63
?±å?,15.5
è¥¿å?,18.34
???,15.02
???,17.82
è¥¿å±¯??,10.02
??±¯??,6.94
??±¯??,10.77
?±å?,13.95
???,14.15
è¥¿å?,23.95
???,14.97
ä¸­å?,27.02
å®????,7.53
å®?¹³??,8.12
?¾å±±??,15.56
å¤§å???,16.48
?¤äº­??,16.72
?????,21.36
é¾?±±??,27.49
??¸­??,17.38
å»ºæ???,28.58
å»¶å¹³??,28.34
å¤§å???,22.56
ä¸­å±±??,20.51
?§æ???,9.71
??¸¯??,9.42
?¨æ???,10.61
?¯ç???,11.98
å£«æ???,16.12
?????,13.93
é¹½å???,28.49
é¼?±±??,11.99
å·¦ç???,11.05
æ¥????,9.39
ä¸????,16.25
?°è???,20.34
?????,15.78
?????,14.17
?????,11.2
??´¥??,6.92
å°?¸¯??,7.22
