town,indu
å¸???,0.6000
å¤§æ??,0.9000
æ°???,0.8500
æºªå??,0.7600
?°æ¸¯?,0.8000
?­è??,0.5300
?±ç??,0.3200
ç¾©ç«¹?,0.5300
é¹¿è??,0.5200
å¤ªä??,0.6000
æ°´ä??,0.7700
ä¸­å??,1.0400
ç«¹å??,0.6900
æ¢?±±?,1.1400
?ªè·¯?,0.4400
å¤§å??,0.3400
?³é³³?,0.0400
?°ç??,2.0900
é¹½æ°´?,1.1600
?½æ²³?,0.8100
éº»è??,1.3200
ä½³é??,1.2800
?°å??,1.3000
????,1.0600
å­¸ç??,0.8700
?³ç??,0.8900
å¾???,0.7200
?±å±±?,0.5300
ä¸???,0.8500
?­ç??,0.9000
å®???,0.7000
å¤§å??,0.4800
è¥¿æ¸¯?,0.8300
ä¸???,0.7200
å°???,0.6200
????,0.4800
?°å??,0.6700
å®???,0.4700
å±±ä??,0.6500
????,0.9500
æ¥?¥¿?,0.6300
????,0.5200
å·¦é??,0.4700
ä»?¾·?,0.8800
æ­¸ä??,0.9800
????,0.7600
é¾???,0.5900
æ°¸åº·?,1.1800
é³³å±±å¸,2.0700
å²¡å±±?,1.7400
??±±?,1.5300
ç¾???,0.9400
????,0.7000
å¤§å¯®?,1.1300
å¤§æ¨¹?,0.7000
ä»?­¦?,0.8700
å¤§ç¤¾?,1.1000
é³¥æ??,1.8000
æ©???,1.2800
??·¢?,0.6200
?°å¯®?,0.3900
?¿è??,0.6900
è·¯ç«¹?,0.9300
æ¹???,0.7700
????,0.4600
æ°¸å??,1.0500
å½???,0.7400
æ¢???,0.8500
?­é??,0.4200
?²ä??,0.6000
????,0.4700
?§é??,0.5100
????,0.0000
æ¡???,0.0400
ä¸???,0.0000
å±??å¸,1.9400
æ½®å??,1.6200
?±æ¸¯?,1.4500
????,0.6500
?¬ä¸¹?,0.8800
?·æ²»?,0.7200
éº???,0.5500
ä¹???,0.4600
??¸¯?,0.8600
é¹½å??,0.4900
é«?¨¹?,0.5900
?¬å??,0.8700
?§å??,0.6800
ç«¹ç??,0.6600
?°å??,0.4800
??¯®?,0.8100
?°å??,0.6200
å´???,0.6400
????,0.8700
????,1.0800
ä½³å??,0.7000
????,0.4800
è»???,0.5900
æ»¿å??,0.3400
??±±?,0.3100
ä¸?????,0.0300
?§è??,0.0600
?ªå®¶?,0.0300
æ³°æ­¦?,0.1300
ä¾?¾©?,1.7900
?¥æ??,0.0400
????,0.0400
?¡ä¸¹?,0.1300
?ºæ?å¸,2.0100
????,0.7000
??±±?,0.9900
????,0.5100
å¤§æ­¦?,0.6200
å¤ªéº»???,0.4800
?±æ²³?,0.4100
?·æ¿±?,0.2800
é¹¿é??,0.7700
æ±???,0.7200
ç¶?³¶?,0.3200
å»¶å¹³?,0.0500
æµ·ç«¯?,0.2300
????,0.0900
??³°?,0.0000
?­å¶¼?,0.0000
?±è?å¸,3.0500
é³³æ??,0.9500
????,1.1000
?°å??,0.7100
????,1.5200
å£½è??,0.5400
??¾©?,0.6400
è±?¿±?,0.4200
????,0.6500
å¯???,0.7100
ç§????,0.1000
?¬æ¦®?,0.0300
??ºª?,0.1200
é¦¬å??,1.6100
æ¹?¥¿?,0.4900
?½æ??,0.3500
è¥¿å¶¼?,0.3700
????,0.2800
ä¸???,0.0000
ä¸­æ­£??,1.9400
ä¸????,1.8600
?????,2.4200
ä»????,2.9100
ä¸­å±±??,1.3400
å®????,1.6000
ä¿¡ç¾©??,2.9700
ä¸­å?,5.0100
?±å?,2.7300
è¥¿å?,5.8400
???,3.4600
???,4.1800
è¥¿å±¯??,1.8200
??±¯??,1.7400
??±¯??,2.4000
?±å?,2.9400
???,2.3800
è¥¿å?,2.6900
???,2.6300
ä¸­å?,5.0100
å®????,0.8100
å®?¹³??,1.8600
?¾å±±??,6.1600
å¤§å???,7.7100
?¤äº­??,5.9100
?????,3.5200
é¾?±±??,5.2500
??¸­??,5.5700
å»ºæ???,4.3900
å»¶å¹³??,4.1000
å¤§å???,4.1000
ä¸­å±±??,5.4600
?§æ???,3.8100
??¸¯??,2.9000
?¨æ???,4.0600
?¯ç???,5.6900
å£«æ???,4.6800
?????,4.3300
é¹½å???,3.4300
é¼?±±??,2.0900
å·¦ç???,1.4700
æ¥????,1.2300
ä¸????,2.9200
?°è???,5.0600
?????,5.5100
?????,3.5100
?????,1.5500
??´¥??,0.8100
å°?¸¯??,1.0700
