town,farm
ç¾©ç«¹?,58.56
é¹¿è??,66
æ°´ä??,36.13
ä¸­å??,51.77
ç«¹å??,59.92
æ¢?±±?,66.14
?ªè·¯?,72.53
å¤§å??,68.09
?³é³³?,67.2
?°ç?å¸,17.86
é¹½æ°´?,47.36
?½æ²³?,53.12
?³ç??,36.78
å¾???,31.64
?±å±±?,35.94
éº»è??,32.02
ä¸???,39.8
?­ç??,50.21
å®???,50.29
å¤§å??,65.74
ä½³é??,55.47
å­¸ç??,40.47
è¥¿æ¸¯?,40.31
ä¸???,57.13
å°???,45.23
????,49
?°å??,45.67
????,43.57
?°å??,37.54
å®???,43.18
å±±ä??,45.01
????,49.84
æ¥?¥¿?,68.42
????,61.8
å·¦é??,60.17
ä»?¾·?,18.59
æ­¸ä??,25.1
????,31.1
é¾???,41.39
æ°¸åº·å¸,8.36
é³³å±±å¸,4.1
????,16.61
å¤§å¯®?,17.77
å¤§æ¨¹?,30.22
å¤§ç¤¾?,12.8
ä»?­¦?,28.65
é³¥æ??,12.87
å²¡å±±?,13.67
æ©???,14.18
??·¢?,42.57
?°å¯®?,49.36
?¿è??,43.92
è·¯ç«¹?,32.85
æ¹???,18.73
????,20.39
æ°¸å??,33.76
å½???,25.11
æ¢???,21.95
??±±?,39.06
ç¾???,53.63
?­é??,51.16
?²ä??,46.98
????,54.99
?§é??,59.35
????,63.31
æ¡???,78.08
ä¸???,69.97
å±??å¸,13.55
æ½®å??,28.77
?±æ¸¯?,34.16
????,34.18
?¬ä¸¹?,46.77
?·æ²»?,42.22
éº???,34.45
ä¹???,51.64
??¸¯?,58.77
é¹½å??,54.8
é«?¨¹?,61.77
?¬å??,47.93
?§å??,41.07
ç«¹ç??,51.89
?°å??,49.69
??¯®?,38.82
?°å??,46.77
å´???,49.8
????,41.22
????,41.26
ä½³å??,49.01
????,60.33
è»???,46.62
æ»¿å??,47.06
??±±?,46.17
ä¸???,75.49
?§è??,46.27
?ªå®¶?,57.57
æ³°æ­¦?,83.01
ä¾?¾©?,60.03
?¥æ??,48.09
????,54.8
?¡ä¸¹?,53
?ºæ?å¸,23.79
????,51.62
??±±?,47.43
????,52.85
é¹¿é??,34.21
æ±???,61.13
?±æ²³?,59.07
?·æ¿±?,53.74
å¤ªéº»???,52.32
å¤§æ­¦?,46.7
ç¶?³¶?,40.43
æµ·ç«¯?,79.74
å»¶å¹³?,69.91
??³°?,68.35
????,48.76
?­å¶¼?,78.62
?±è?å¸,5.2
é³³æ??,37.24
????,39.65
?°å??,15.66
????,17.04
å£½è??,44.08
??¾©?,39.37
è±?¿±?,44.08
????,34.98
å¯???,41.04
ç§????,52.75
?¬æ¦®?,50.1
??ºª?,54.65
é¦¬å?å¸,22.56
æ¹?¥¿?,46.07
?½æ??,51.08
è¥¿å¶¼?,49.53
????,71.46
ä¸???,52.49
ä¸­æ­£??,10.39
ä¸????,3.05
?????,1.68
ä»????,0.82
ä¸­å±±??,1.66
å®????,1.95
ä¿¡ç¾©??,1.16
?±å?,3.78
???,4.37
é¦?±±??,14.34
ä¸­å?,2.2
?±å?,3.71
???,2.96
è¥¿å?,4.13
???,2.36
è¥¿å±¯??,10.27
??±¯??,11.31
??±¯??,11.3
?±å?,8.26
è¥¿å?,11.92
?±å?,2.99
???,7.45
è¥¿å?,2.94
???,3.2
ä¸­å?,1.64
å®????,22.54
å®?¹³??,9.17
?¾å±±??,0.6
ä¿¡ç¾©??,0.5
å¤§å???,0.25
ä¸­å±±??,0.41
ä¸­æ­£??,0.47
å¤§å???,0.35
?¬è???,0.62
??±±??,1.84
??¸¯??,2.07
?§æ???,1.48
å£«æ???,3.48
?????,4.66
é¹½å???,1.42
é¼?±±??,4.21
å·¦ç???,3.61
æ¥????,6.83
ä¸????,3
?°è???,2.67
?????,1.75
?????,2.64
?????,3.39
??´¥??,24.89
å°?¸¯??,11.27
