town,trav
æ½­å??,50.89
å¤§é??,46.22
?°ç¤¾?,30.17
?³å²¡?,41.77
å¤???,42.04
å¤§å??,40.36
????,47.4
å¤§è??,46.43
é¾???,46.91
?§å³°?,38.64
å¤ªå¹³?,50.33
å¤§é??,47.62
??¹³?,20.03
å½°å?å¸,41.15
é¹¿æ¸¯?,49.62
????,48.33
????,32.8
?¡æ??,37
æºªæ??,32.67
?°ä¸­?,38.29
äº???,24.49
ç·?¥¿?,49.74
ä¼¸æ¸¯?,39.58
ç¦???,37.86
ç§?æ°´é?,35.94
?±å??,51.87
?¬å??,41.11
å¤§æ??,43.14
??¹½?,24.56
????,40.42
æ°¸é??,35.47
ç¤¾é??,42.88
äº?°´?,33.12
?°å°¾?,25.95
?¤é??,28.94
?³è??,29.76
å¤§å??,27.12
ç«¹å??,26.53
æºªå??,24.22
????,33.09
????,38.06
??±¯?,34.85
ç«¹å±±?,36.43
????,37.11
????,29.66
é¹¿è°·?,26.51
ä¸­å¯®?,38.98
é­???,29.61
????,34.64
æ°´é??,39.32
ä¿¡ç¾©?,14.37
ä»???,5.73
????,33.22
????,31.4
??°¾?,31.25
è¥¿è??,24.26
??º«?,19.51
??¸¯?,35.41
?¤å??,30.12
å¤§å??,30.9
?¿æ??,27.98
????,41.32
äº???,19.34
å´???,24.22
éº¥å¯®?,25.94
?±å??,24.84
è¤???,20.54
?ºè¥¿?,31.09
????,27.88
????,34.72
????,33.75
æ°´æ??,24.37
??¾©å¸,39.47
?´å??,34.37
å¸???,38.94
å¤§æ??,34.96
æ°???,35.04
æºªå??,33
?°æ¸¯?,29.33
?­è??,30.68
?±ç??,31.19
ç¾©ç«¹?,35.21
é¹¿è??,29.31
å¤ªä??,30.71
æ°´ä??,39.15
ä¸­å??,29.76
ç«¹å??,28.89
æ¢?±±?,27.29
?ªè·¯?,24.49
å¤§å??,19.98
?³é³³?,13.4
?°ç??,35.54
é¹½æ°´?,36.81
?½æ²³?,32.88
éº»è??,35.37
ä½³é??,37.26
?°å??,36.32
????,38.11
å­¸ç??,38.61
?³ç??,35.05
å¾???,35.3
?±å±±?,28.06
ä¸???,31.51
?­ç??,34.32
å®???,37.45
å¤§å??,29.35
è¥¿æ¸¯?,39.14
ä¸???,44.74
å°???,39.07
????,44.61
?°å??,36.79
å®???,42.66
å±±ä??,35.72
????,30.32
æ¥?¥¿?,22.27
????,30.4
å·¦é??,34.03
ä»?¾·?,50.98
æ­¸ä??,46.72
????,44.96
é¾???,55.91
æ°¸åº·?,51.9
é³³å±±å¸,48.56
å²¡å±±?,42.27
??±±?,36.12
ç¾???,27.89
????,52.96
å¤§å¯®?,47.48
å¤§æ¨¹?,46.3
ä»?­¦?,57.8
å¤§ç¤¾?,42.7
é³¥æ??,42.4
æ©???,56.09
??·¢?,35.57
?°å¯®?,39.62
?¿è??,39.09
è·¯ç«¹?,39.9
æ¹???,49.52
????,51.46
æ°¸å??,46.66
å½???,49.95
æ¢???,52.22
?­é??,33.66
?²ä??,34.24
????,30.05
?§é??,35.83
????,7.53
æ¡???,10.34
ä¸???,7.07
å±??å¸,37.73
æ½®å??,36.4
?±æ¸¯?,33.13
????,36.89
?¬ä¸¹?,32.4
?·æ²»?,37.55
éº???,33.02
ä¹???,27.28
??¸¯?,25.08
é¹½å??,29.26
é«?¨¹?,25.97
?¬å??,35.85
?§å??,36.65
ç«¹ç??,32.37
?°å??,39.04
??¯®?,38.77
?°å??,32.4
å´???,36.09
????,30.93
????,33.7
ä½³å??,33.47
????,15.72
è»???,30.57
æ»¿å??,38.75
??±±?,36.93
ä¸?????,16.32
?§è??,8.75
?ªå®¶?,24.49
æ³°æ­¦?,21.43
ä¾?¾©?,21.65
?¥æ??,13.1
????,28.88
?¡ä¸¹?,21.05
?ºæ?å¸,33.92
????,21.43
??±±?,31.24
????,33.01
å¤§æ­¦?,36.83
å¤ªéº»???,25.11
?±æ²³?,24.56
?·æ¿±?,26.96
é¹¿é??,29.53
æ±???,28.81
ç¶?³¶?,19.57
å»¶å¹³?,15.63
æµ·ç«¯?,17.17
????,8.5
??³°?,10.63
?­å¶¼?,17.46
?±è?å¸,34.34
é³³æ??,32.39
????,30.9
?°å??,44.99
????,44.04
å£½è??,32.09
??¾©?,38.73
è±?¿±?,30.46
????,38.43
å¯???,37.1
ç§????,28.92
?¬æ¦®?,14
??ºª?,23.06
é¦¬å??,30.06
æ¹?¥¿?,31.45
?½æ??,28.11
è¥¿å¶¼?,29.15
????,6.12
ä¸???,17.54
ä¸­æ­£??,37.97
ä¸????,55.78
?????,48.42
ä»????,36.95
ä¸­å±±??,60.25
å®????,54.92
ä¿¡ç¾©??,38.45
ä¸­å?,19.84
?±å?,41.8
è¥¿å?,29.43
???,39.71
???,32.24
è¥¿å±¯??,41.88
??±¯??,44.32
??±¯??,40.12
?±å?,39.74
???,45.03
è¥¿å?,39.6
???,44.61
ä¸­å?,23.03
å®????,48.57
å®?¹³??,56.93
?¾å±±??,27.15
å¤§å???,18.09
?¤äº­??,27.44
?????,39.11
é¾?±±??,25.46
??¸­??,17.12
å»ºæ???,23.1
å»¶å¹³??,20.75
å¤§å???,35.46
ä¸­å±±??,22.21
?§æ???,42.13
??¸¯??,48.61
?¨æ???,35.56
?¯ç???,28.06
å£«æ???,31.42
?????,30.62
é¹½å???,28.64
é¼?±±??,49.11
å·¦ç???,49.3
æ¥????,52.7
ä¸????,43.13
?°è???,25.77
?????,31.96
?????,38.62
?????,54.77
??´¥??,48.84
å°?¸¯??,53.17
