town,emplo
æ°´é??,5.13
ä¿¡ç¾©?,3.66
ä»???,4.78
???å¸,3.73
????,1.23
??°¾?,4.11
è¥¿è??,3.68
??º«?,2.91
??¸¯?,3.67
?¤å??,3.04
å¤§å??,2.5
?¿æ??,2.25
????,1.51
äº???,2.76
å´???,3.93
éº¥å¯®?,6.6
?±å??,3.12
è¤???,1.9
?ºè¥¿?,6.49
????,2.31
????,4.87
????,6.39
æ°´æ??,3.82
å¤ªä?å¸,3.21
?´å?å¸,4.19
å¸???,5.14
å¤§æ??,2.15
æ°???,2.99
æºªå??,2.64
?°æ¸¯?,3.46
?­è??,3.64
?±ç??,5.49
ç¾©ç«¹?,2.34
é¹¿è??,1.94
æ°´ä??,3.57
ä¸­å??,4.18
ç«¹å??,2.9
æ¢?±±?,3.92
?ªè·¯?,2.07
å¤§å??,4.63
?³é³³?,2.48
?°ç?å¸,4.07
é¹½æ°´?,3.19
?½æ²³?,2.93
?³ç??,3.05
å¾???,4.91
?±å±±?,1.97
éº»è??,2.66
ä¸???,3.25
?­ç??,4.9
å®???,2.45
å¤§å??,2.15
ä½³é??,2.58
å­¸ç??,3.22
è¥¿æ¸¯?,1.74
ä¸???,1.15
å°???,2.51
????,2.49
?°å??,2.36
????,3.29
?°å??,2.34
å®???,3.12
å±±ä??,0.71
????,3.33
æ¥?¥¿?,4.64
????,1.24
å·¦é??,2.75
ä»?¾·?,4.14
æ­¸ä??,3.45
????,3.22
é¾???,2.43
æ°¸åº·å¸,3.2
é³³å±±å¸,4.24
????,8.21
å¤§å¯®?,4.76
å¤§æ¨¹?,5.15
å¤§ç¤¾?,3.84
ä»?­¦?,5.4
é³¥æ??,3.96
å²¡å±±?,3.31
æ©???,2.51
??·¢?,2.32
?°å¯®?,3.12
?¿è??,2.79
è·¯ç«¹?,4.4
æ¹???,3.59
????,4
æ°¸å??,2.3
å½???,5.5
æ¢???,3.2
??±±?,5.51
ç¾???,7.75
?­é??,5.53
?²ä??,5.06
????,6.66
?§é??,2.8
????,1.07
æ¡???,5.31
ä¸???,2.59
å±??å¸,4.21
æ½®å??,3.76
?±æ¸¯?,7.68
????,8.3
?¬ä¸¹?,3.43
?·æ²»?,3.55
éº???,3.86
ä¹???,3.18
??¸¯?,3.4
é¹½å??,3.5
é«?¨¹?,4.77
?¬å??,5.89
?§å??,4.57
ç«¹ç??,9.02
?°å??,4.8
??¯®?,6.32
?°å??,6.07
å´???,6.77
????,6.72
????,6.02
ä½³å??,9.77
????,9.83
è»???,8.82
æ»¿å??,6.86
??±±?,16.14
ä¸???,5.77
?§è??,3
?ªå®¶?,3.69
æ³°æ­¦?,0.51
ä¾?¾©?,2.89
?¥æ??,7.98
????,4.14
?¡ä¸¹?,7.97
?ºæ?å¸,5.79
????,4.97
??±±?,5.27
????,7.65
é¹¿é??,8.2
æ±???,6.55
?±æ²³?,3.38
?·æ¿±?,2.79
å¤ªéº»???,4.38
å¤§æ­¦?,7.04
ç¶?³¶?,2.17
æµ·ç«¯?,7.72
å»¶å¹³?,0.92
??³°?,8.8
????,1.13
?­å¶¼?,11.74
?±è?å¸,4.39
é³³æ??,5.58
????,5.77
?°å??,3.92
????,6.1
å£½è??,5.33
??¾©?,6.88
è±?¿±?,2.47
????,4.72
å¯???,4.53
ç§????,3.11
?¬æ¦®?,12.38
??ºª?,5.16
é¦¬å?å¸,5.46
æ¹?¥¿?,3.94
?½æ??,5.63
è¥¿å¶¼?,2.69
????,6.61
ä¸???,8.74
ä¸­æ­£??,3.39
ä¸????,5.04
?????,6.76
ä»????,4.43
ä¸­å±±??,3.47
å®????,5.16
ä¿¡ç¾©??,3.83
?±å?,4.3
???,5.49
é¦?±±??,3.36
ä¸­å?,5.16
?±å?,4.3
???,4.94
è¥¿å?,3.56
???,5.49
è¥¿å±¯??,2.96
??±¯??,4
??±¯??,3.83
?±å?,4.3
è¥¿å?,3.56
?±å?,4.3
???,4.94
è¥¿å?,3.56
???,5.49
ä¸­å?,5.16
å®????,3.82
å®?¹³??,5.45
?¾å±±??,3.49
ä¿¡ç¾©??,3.83
å¤§å???,3.43
ä¸­å±±??,3.47
ä¸­æ­£??,3.39
å¤§å???,4.58
?¬è???,4.17
??±±??,3.17
??¸¯??,3.83
?§æ???,2.6
å£«æ???,3.27
?????,4.14
é¹½å???,6.34
é¼?±±??,5.45
å·¦ç???,2.8
æ¥????,4.15
ä¸????,4.5
?°è???,4.75
?????,5.37
?????,5.39
?????,5.53
??´¥??,7.24
å°?¸¯??,3.8
