town,w_lab
?§é??,39.89
????,62.55
æ¡???,57.29
ä¸???,60.02
å±??å¸,33.9
æ½®å??,35.59
?±æ¸¯?,27.74
????,33.28
?¬ä¸¹?,41.08
?·æ²»?,40.2
éº???,36.34
ä¹???,41.96
??¸¯?,49.38
é¹½å??,43.61
é«?¨¹?,50.02
?¬å??,36.97
?§å??,37
ç«¹ç??,48.58
?°å??,42.41
??¯®?,32.52
?°å??,33.14
å´???,33.72
????,28.11
????,31.8
ä½³å??,33.98
????,16.9
è»???,28.18
æ»¿å??,33.91
??±±?,24.9
ä¸???,54.18
?§è??,47.83
?ªå®¶?,47.03
æ³°æ­¦?,78.67
ä¾?¾©?,48.7
?¥æ??,40.9
????,37.69
?¡ä¸¹?,33.58
?ºæ?å¸,35.15
????,39.16
??±±?,35.2
????,37.49
é¹¿é??,35.51
æ±???,37.86
?±æ²³?,55.76
?·æ¿±?,57.26
å¤ªéº»???,42.28
å¤§æ­¦?,29.18
ç¶?³¶?,34.24
æµ·ç«¯?,41.1
å»¶å¹³?,48.74
??³°?,45.23
????,56.04
?­å¶¼?,49.51
?±è?å¸,32.26
é³³æ??,35.83
????,33.44
?°å??,33.22
????,33.18
å£½è??,33.25
??¾©?,34
è±?¿±?,52.07
????,39.97
å¯???,29.56
ç§????,46.84
?¬æ¦®?,32.21
??ºª?,35.41
é¦¬å?å¸,33.96
æ¹?¥¿?,50.22
?½æ??,42.71
è¥¿å¶¼?,42.67
????,41.6
ä¸???,32.36
ä¸­æ­£??,38.16
ä¸????,33.22
?????,33.59
ä»????,32.75
ä¸­å±±??,39.95
å®????,31.78
ä¿¡ç¾©??,39.37
?±å?,33.08
???,29.34
é¦?±±??,34.49
ä¸­å?,29.83
?±å?,33.08
???,30.96
è¥¿å?,30.48
???,29.34
è¥¿å±¯??,29.46
??±¯??,31.12
??±¯??,32.77
?±å?,33.08
è¥¿å?,30.48
?±å?,33.08
???,30.96
è¥¿å?,30.48
???,29.34
ä¸­å?,29.83
å®????,31.99
å®?¹³??,32.77
?¾å±±??,40.79
ä¿¡ç¾©??,39.37
å¤§å???,39.67
ä¸­å±±??,39.95
ä¸­æ­£??,38.16
å¤§å???,35.52
?¬è???,34.14
??±±??,38.57
??¸¯??,36.81
?§æ???,39.78
å£«æ???,34.57
?????,34.16
é¹½å???,32.79
é¼?±±??,30.89
å·¦ç???,32.43
æ¥????,37.05
ä¸????,29.53
?°è???,33.08
?????,33.49
?????,32.12
?????,30.45
??´¥??,27.83
å°?¸¯??,28.62
